district_id,district,year,population,population_diff
1,종로구,2020,161984,
1,종로구,2021,156567,-5417.0
1,종로구,2022,153684,-2883.0
1,종로구,2023,152212,-1472.0
1,종로구,2024,150550,-1662.0
1,종로구,2025,149478,-1072.0
2,중구,2020,136469,
2,중구,2021,133708,-2761.0
2,중구,2022,131450,-2258.0
2,중구,2023,131390,-60.0
2,중구,2024,131812,422.0
2,중구,2025,130418,-1394.0
3,용산구,2020,246165,
3,용산구,2021,243336,-2829.0
3,용산구,2022,236518,-6818.0
3,용산구,2023,232482,-4036.0
3,용산구,2024,223433,-9049.0
3,용산구,2025,216537,-6896.0
4,성동구,2020,307193,
4,성동구,2021,298421,-8772.0
4,성동구,2022,291609,-6812.0
4,성동구,2023,287240,-4369.0
4,성동구,2024,284258,-2982.0
4,성동구,2025,281062,-3196.0
5,광진구,2020,365990,
5,광진구,2021,356191,-9799.0
5,광진구,2022,353110,-3081.0
5,광진구,2023,350925,-2185.0
5,광진구,2024,350925,0.0
5,광진구,2025,348660,-2265.0
6,동대문구,2020,362793,
6,동대문구,2021,352570,-10223.0
6,동대문구,2022,352592,22.0
6,동대문구,2023,354884,2292.0
6,동대문구,2024,360211,5327.0
6,동대문구,2025,361950,1739.0
7,중랑구,2020,400678,
7,중랑구,2021,396807,-3871.0
7,중랑구,2022,393600,-3207.0
7,중랑구,2023,389928,-3672.0
7,중랑구,2024,387433,-2495.0
7,중랑구,2025,384320,-3113.0
8,성북구,2020,454532,
8,성북구,2021,444295,-10237.0
8,성북구,2022,442680,-1615.0
8,성북구,2023,441855,-825.0
8,성북구,2024,436901,-4954.0
8,성북구,2025,433569,-3332.0
9,강북구,2020,316750,
9,강북구,2021,307537,-9213.0
9,강북구,2022,300824,-6713.0
9,강북구,2023,296934,-3890.0
9,강북구,2024,291372,-5562.0
9,강북구,2025,288797,-2575.0
10,도봉구,2020,333495,
10,도봉구,2021,323752,-9743.0
10,도봉구,2022,318100,-5652.0
10,도봉구,2023,312858,-5242.0
10,도봉구,2024,308864,-3994.0
10,도봉구,2025,305391,-3473.0
11,노원구,2020,535495,
11,노원구,2021,522225,-13270.0
11,노원구,2022,514445,-7780.0
11,노원구,2023,506989,-7456.0
11,노원구,2024,501727,-5262.0
11,노원구,2025,495111,-6616.0
12,은평구,2020,482509,
12,은평구,2021,479607,-2902.0
12,은평구,2022,476013,-3594.0
12,은평구,2023,468766,-7247.0
12,은평구,2024,470185,1419.0
12,은평구,2025,464466,-5719.0
13,서대문구,2020,325875,
13,서대문구,2021,318814,-7061.0
13,서대문구,2022,317075,-1739.0
13,서대문구,2023,321966,4891.0
13,서대문구,2024,320378,-1588.0
13,서대문구,2025,318085,-2293.0
14,마포구,2020,386086,
14,마포구,2021,378216,-7870.0
14,마포구,2022,378629,413.0
14,마포구,2023,376542,-2087.0
14,마포구,2024,374962,-1580.0
14,마포구,2025,371852,-3110.0
15,양천구,2020,460532,
15,양천구,2021,456019,-4513.0
15,양천구,2022,449378,-6641.0
15,양천구,2023,442345,-7033.0
15,양천구,2024,437774,-4571.0
15,양천구,2025,432901,-4873.0
16,강서구,2020,595703,
16,강서구,2021,582804,-12899.0
16,강서구,2022,578426,-4378.0
16,강서구,2023,573711,-4715.0
16,강서구,2024,567159,-6552.0
16,강서구,2025,560094,-7065.0
17,구로구,2020,438308,
17,구로구,2021,426675,-11633.0
17,구로구,2022,419984,-6691.0
17,구로구,2023,417983,-2001.0
17,구로구,2024,414271,-3712.0
17,구로구,2025,410727,-3544.0
18,금천구,2020,251370,
18,금천구,2021,244564,-6806.0
18,금천구,2022,244901,337.0
18,금천구,2023,242467,-2434.0
18,금천구,2024,240680,-1787.0
18,금천구,2025,238431,-2249.0
19,영등포구,2020,404766,
19,영등포구,2021,403070,-1696.0
19,영등포구,2022,400241,-2829.0
19,영등포구,2023,398999,-1242.0
19,영등포구,2024,397942,-1057.0
19,영등포구,2025,396834,-1108.0
20,동작구,2020,407802,
20,동작구,2021,398205,-9597.0
20,동작구,2022,394649,-3556.0
20,동작구,2023,390377,-4272.0
20,동작구,2024,389576,-801.0
20,동작구,2025,386897,-2679.0
21,관악구,2020,516662,
21,관악구,2021,504140,-12522.0
21,관악구,2022,500336,-3804.0
21,관악구,2023,502628,2292.0
21,관악구,2024,497827,-4801.0
21,관악구,2025,497213,-614.0
22,서초구,2020,434801,
22,서초구,2021,425103,-9698.0
22,서초구,2022,413677,-11426.0
22,서초구,2023,408979,-4698.0
22,서초구,2024,412275,3296.0
22,서초구,2025,412715,440.0
23,강남구,2020,549898,
23,강남구,2021,539538,-10360.0
23,강남구,2022,537338,-2200.0
23,강남구,2023,537817,479.0
23,강남구,2024,559720,21903.0
23,강남구,2025,563189,3469.0
24,송파구,2020,680883,
24,송파구,2021,667115,-13768.0
24,송파구,2022,668261,1146.0
24,송파구,2023,663704,-4557.0
24,송파구,2024,659661,-4043.0
24,송파구,2025,654127,-5534.0
25,강동구,2020,457042,
25,강동구,2021,468815,11773.0
25,강동구,2022,465097,-3718.0
25,강동구,2023,464027,-1070.0
25,강동구,2024,465549,1522.0
25,강동구,2025,500002,34453.0
