datetime,car_count_month,car_diff_month
2018-03-01,3116691,
2018-04-01,3119463,2772.0
2018-05-01,3119696,233.0
2018-06-01,3120469,773.0
2018-07-01,3121497,1028.0
2018-08-01,3121532,35.0
2018-09-01,3123924,2392.0
2018-10-01,3123896,-28.0
2018-11-01,3123702,-194.0
2018-12-01,3124651,949.0
2019-01-01,3128420,3769.0
2019-02-01,3128962,542.0
2019-03-01,3127236,-1726.0
2019-04-01,3124289,-2947.0
2019-05-01,3121807,-2482.0
2019-06-01,3120332,-1475.0
2019-07-01,3121140,808.0
2019-08-01,3120892,-248.0
2019-09-01,3121687,795.0
2019-10-01,3121416,-271.0
2019-11-01,3122433,1017.0
2019-12-01,3124157,1724.0
2020-01-01,3127566,3409.0
2020-02-01,3123984,-3582.0
2020-03-01,3125333,1349.0
2020-04-01,3128523,3190.0
2020-05-01,3133353,4830.0
2020-06-01,3141710,8357.0
2020-07-01,3147149,5439.0
2020-08-01,3148071,922.0
2020-09-01,3151842,3771.0
2020-10-01,3153732,1890.0
2020-11-01,3157278,3546.0
2020-12-01,3157361,83.0
2021-01-01,3159552,2191.0
2021-02-01,3158102,-1450.0
2021-03-01,3158710,608.0
2021-04-01,3159075,365.0
2021-05-01,3160629,1554.0
2021-06-01,3162985,2356.0
2021-07-01,3171767,8782.0
2021-08-01,3171749,-18.0
2021-09-01,3175142,3393.0
2021-10-01,3173961,-1181.0
2021-11-01,3177236,3275.0
2021-12-01,3176743,-493.0
2022-01-01,3178074,1331.0
2022-02-01,3179328,1254.0
2022-03-01,3180299,971.0
2022-04-01,3182255,1956.0
2022-05-01,3184795,2540.0
2022-06-01,3187333,2538.0
2022-07-01,3189670,2337.0
2022-08-01,3189058,-612.0
2022-09-01,3190525,1467.0
2022-10-01,3190108,-417.0
2022-11-01,3192112,2004.0
2022-12-01,3193351,1239.0
2023-01-01,3194351,1000.0
2023-02-01,3191681,-2670.0
2023-03-01,3191538,-143.0
2023-04-01,3191516,-22.0
2023-05-01,3190288,-1228.0
2023-06-01,3192434,2146.0
2023-07-01,3192414,-20.0
2023-08-01,3190446,-1968.0
2023-09-01,3192359,1913.0
2023-10-01,3191832,-527.0
2023-11-01,3191548,-284.0
2023-12-01,3191162,-386.0
2024-01-01,3191104,-58.0
2024-02-01,3190358,-746.0
2024-03-01,3187776,-2582.0
2024-04-01,3186470,-1306.0
2024-05-01,3186219,-251.0
2024-06-01,3187055,836.0
2024-07-01,3184743,-2312.0
2024-08-01,3182265,-2478.0
2024-09-01,3181927,-338.0
2024-10-01,3177864,-4063.0
2024-11-01,3177427,-437.0
2024-12-01,3176933,-494.0
2025-01-01,3176438,-495.0
2025-02-01,3174124,-2314.0
2025-03-01,3173277,-847.0
