년월,승용합계,승합합계,화물합계,특수합계,등록합계,합계
202111,19257,25003,24496,16024,84780,169560
202112,18587,26828,24024,16581,86020,172040
202201,18985,25060,24463,16120,84628,169256
202202,20001,23664,23502,16657,83824,167648
202203,19888,25127,24046,16212,85273,170546
202204,18062,25004,23636,15778,82480,164960
202205,17625,23413,23369,15488,79895,159790
202206,17844,24531,23109,15160,80644,161288
202207,18745,24134,23396,14985,81260,162520
202208,17186,23952,23003,14681,78822,157644
202209,18907,23230,22642,14341,79120,158240
202210,19498,24723,22299,14009,80529,161058
202211,18698,26049,22963,13677,81387,162774
202212,18865,27910,23528,13227,83530,167060
202301,22517,23357,23284,12955,82113,164226
202302,20155,24592,22869,15521,83137,166274
202303,20013,25880,24364,15029,85286,170572
202304,18190,24685,23822,15533,82230,164460
202305,19101,25251,23339,16121,83812,167624
202306,19856,22712,22997,15793,81358,162716
202307,20590,22817,22653,16444,82504,165008
202308,20542,23599,22152,16860,83153,166306
202309,20302,24992,22706,17417,85417,170834
202310,18341,27799,23175,16896,86211,172422
202311,18759,25535,22722,16449,83465,166930
202312,19952,26223,22476,17209,85860,171720
202401,18966,26440,21206,16876,83488,166976
202402,18577,26018,21987,17645,84227,168454
202403,18279,24449,22359,17993,83080,166160
202404,18528,26604,22024,18622,85778,171556
202405,20638,27724,21579,19197,89138,178276
202406,20371,26555,22135,19743,88804,177608
202407,18928,23916,25345,19989,88178,176356
202408,17543,24474,25877,19527,87421,174842
202409,17718,22754,25363,19008,84843,169686
202410,19618,26722,25848,18431,90619,181238
202411,19118,25881,25470,18033,88502,177004
202412,17968,26788,25051,18634,88441,176882
202501,15676,26162,24779,19333,85950,171900
202502,18448,26580,24329,18883,88240,176480
202503,18838,27814,25767,18298,90717,181434
202504,17908,27607,26301,17825,89641,179282
202505,16976,27877,25906,17433,88192,176384
202506,19177,30387,25466,16987,92017,184034
202507,18264,24127,25071,16654,84116,168232
202508,16918,26776,25794,17390,86878,173756
202509,16542,27011,26208,17781,87542,175084
202510,18033,27543,25772,17370,88718,177436
202511,18085,26174,25378,16971,86608,173216
